book,ch_num,stratum,source,ai_intensity,ai_retention,ai_hook,ai_emotion,ai_analysis,t2_intensity,t2_retention,t2_hook,t2_emotion,t2_analysis,human_intensity,human_retention,human_hook,human_conflict,human_emotion,human_analysis,disagreement,notes
末世大回炉,1704,Climax,disagreement,9,9,strong,悬疑,外星传送阵激活后投射全球异种据点全息地图的设定震撼全书，考核石壁与外星科技的关联揭秘令人叹为观止,,,,,,,,,,,,6.06,
末世大回炉,1556,Climax,disagreement,10,10,strong,悬疑,神秘家族竟是外星人的惊天反转颠覆全书世界观，传送阵与外星文明的设定令人窒息，白家近亲结合的黑暗秘密引爆冲突,,,,,,,,,,,,6.04,
末世大回炉,1625,Climax,disagreement,10,10,strong,紧张,百万丧尸涌入基地的绝望场面描写极致，段氏飞行员以为狼牙覆灭的悲叹制造反转悬念，结尾主角终于抬头画面震撼,,,,,,,,,,,,6.04,
末世大回炉,1566,Climax,disagreement,9,9,strong,热血,主角三千人对十万联盟军的兵力部署堪称教科书级，暗部内应开门的潜伏暗线收网精彩，后勤营地即将被屠悬念拉满,,,,,,,,,,,,5.96,
末世大回炉,1645,Climax,disagreement,9,10,strong,悲壮,万人阵亡的惨烈战损数据令人心碎，何峰逐一念出牺牲者名字与战绩的仪式催人泪下，狼牙战团的至深情谊在死亡中升华,,,,,,,,,,,,5.9,
末世大回炉,1251,Climax,disagreement,9,10,strong,感动,李川烈士求死前要子弹的铁血故事震撼人心，生为狼牙效忠死为狼牙战魂的十六字名言催人泪下，出征仪式封神,,,,,,,,,,,,5.72,
末世大回炉,236,Rising,supplement,9,9,strong,热血,三阶丧尸绝境逼杀全员绝望，主角力量天赋爆发一脚踹飞反杀，逆天翻盘爽感爆表,,,,,,,,,,,,1.0,
末世大回炉,335,Rising,supplement,9,9,strong,悲壮,异种残杀同伴激起主角暴走，黑焰环绕修罗战斧的觉醒描写震撼，断肢惩罚的暴力美学极致,,,,,,,,,,,,1.0,
异兽迷城,1,Opening,anchor,6,8,strong,悬疑,开篇悬疑氛围浓厚，穿越设定与恶鬼揭示交织，城市虚假感引人入胜，章末悬念强烈,,,,,,,,,,,,3.58,
异兽迷城,316,Rising,anchor,9,9,strong,紧张,白露水冰元素碾压式战斗惊心动魄，初雪咬姐姐救友反转催泪，王子凯冰封后突袭震撼,,,,,,,,,,,,4.03,
异兽迷城,643,Mid,anchor,5,7,strong,紧张,酥魅美人计挖角搞笑又紧张，格里高以毒攻毒清奇脑回路令人捧腹，组织暗战一触即发,,,,,,,,,,,,3.78,
异兽迷城,959,Climax,anchor,5,7,medium,日常,金色潜艇孤岛据点设定炫酷，格里高理想太远苍蝇太多哲学金句令人会心，新成员名单推进剧情,,,,,,,,,,,,4.7,
异兽迷城,1276,Ending,anchor,9,9,strong,悲壮,全员平行时空悲惨人生逐一展开令人窒息，陈萤战火抱子天狗自残鸦鲨自闭每个都心碎，娜娜呕吐战争震撼绝望,,,,,,,,,,,,5.41,
异兽迷城,900,Climax,disagreement,9,9,strong,热血,斗虎嗜龙巨剑暴打青龙燃爆全场，拍进地底十米震撼画面，龙早已是一具行尸走肉真相令人唏嘘,,,,,,,,,,,,6.88,
异兽迷城,663,Mid,disagreement,9,9,strong,热血,幻影自爆夷平玄武楼场面震撼，天狗了了烫手符文搞笑反转，手表伏笔暗藏危机扣人,,,,,,,,,,,,6.79,
异兽迷城,762,Mid,disagreement,9,9,strong,热血,斗虎嗜龙巨剑震荡之力设定精妙，虐杀蜥蜴女王蒂娅酣畅淋漓，越战越强杀人专家特性燃爆,,,,,,,,,,,,6.79,
异兽迷城,465,Mid,disagreement,9,9,strong,热血,觉悟之力全属性集中于一点暴打刑空燃爆，青灵双刀刺目战术精妙，双双中毒倒地悬念拉满,,,,,,,,,,,,6.52,
异兽迷城,207,Rising,disagreement,9,9,strong,热血,对抗叛徒湘蝶战斗燃爆，绝境暴击幸运点暴涨属性飙升，徒手捏断骨刺震撼收场,,,,,,,,,,,,6.33,
异兽迷城,1157,Ending,disagreement,9,9,strong,紧张,了了自刺换痛苦抵抗催眠悲壮至极，时光重置困月光本体战术精妙，望舒撕月为陨石反击震撼绝望,,,,,,,,,,,,6.33,
异兽迷城,1028,Climax,disagreement,9,9,strong,紧张,青灵十二刀围攻麒麟战术精彩，天赋被窃取反转设定令人窒息，幻影舍身挡刀悲壮感人,,,,,,,,,,,,6.24,
异兽迷城,583,Mid,disagreement,9,9,strong,紧张,语言诅咒加密设定令人毛骨悚然，绿茶七窍喷尘暴毙震撼，初雪叹息之墙吞噬全场惊艳,,,,,,,,,,,,6.15,
黑暗血时代,1,Opening,anchor,5,7,strong,悬疑,开篇以太阳消失切入，古书预言设定新颖，主角疯狂备战引发好奇，悬疑氛围浓,,,,,,,,,,,,1.94,
黑暗血时代,466,Rising,anchor,9,9,strong,悲壮,第七钉秒杀飞头怪震撼，余寒武复仇屠杀后崩溃大哭催泪，向闻西离奇自杀悬念极强,,,,,,,,,,,,4.22,
黑暗血时代,922,Mid,anchor,8,8,strong,悲壮,银色军团屠杀嗷卡族复仇亲被烤食之恨血债血偿种族灭绝战争黑暗残酷震撼,,,,,,,,,,,,6.07,
黑暗血时代,1388,Climax,anchor,7,8,strong,压抑,苜苒意识被微生命监禁感官不可信心理恐怖描写精彩，人格分裂式生存压抑至极,,,,,,,,,,,,4.36,
黑暗血时代,1841,Ending,anchor,5,6,medium,悬疑,拓灵主几何迷宫星舰加速时美到窒息，高速时空生命形态哲学探讨深入精彩,,,,,,,,,,,,4.85,
黑暗血时代,1537,Climax,disagreement,9,9,strong,紧张,双灵合袭囚徒困境策略精彩，虚位技术同步消失逃脱惊险万分紧张窒息,,,,,,,,,,,,9.0,
黑暗血时代,256,Rising,disagreement,10,9,strong,热血,巨坟内大战斗篷人六次剑式破防，瑉吞噬大脑获取知识设定震撼战斗巅峰,,,,,,,,,,,,8.59,
黑暗血时代,665,Mid,disagreement,10,10,strong,热血,五色光柱虐杀主角战甲碎裂肌肤崩裂惨烈，诛魔声中主角弑神宣言气势磅礴震撼,,,,,,,,,,,,8.53,
黑暗血时代,286,Rising,disagreement,7,8,strong,悬疑,主角托付曹正义温情脉脉，女候选人揭秘天导人甄选实为九死一生反转震撼,,,,,,,,,,,,7.4,
黑暗血时代,595,Mid,disagreement,7,8,strong,紧张,直升机撤离城市危机处理，于坚干练形象鲜明，丹阳火族斗篷人截击军方武器引出悬念,,,,,,,,,,,,7.4,
黑暗血时代,1081,Mid,disagreement,9,9,strong,紧张,推进器失控主角人工调整被反复砸向星球表面数百次，虫身极限抗压惊心动魄,,,,,,,,,,,,7.34,
黑暗血时代,1200,Climax,disagreement,9,9,strong,热血,银色光芒撕裂空间三大源门交替拦截硬撼，星际级源门之法对轰战斗震撼至极,,,,,,,,,,,,7.34,
黑暗血时代,1428,Climax,disagreement,9,9,strong,热血,虚位技术逃脱双灵合袭惊险，冥留下三条信息命源之链将断禁地寻路悲壮震撼,,,,,,,,,,,,6.79,
黑暗血时代,216,Rising,supplement,2,2,weak,日常,极短章节仅百余字，主角回房车问晚饭，无情节推进无冲突无悬念内容极空,,,,,,,,,,,,0.24,
黑暗血时代,655,Mid,supplement,2,2,weak,悬疑,极短章节仅百余字，黑暗世界铁路公路导航描写，实用信息但无情节推进,,,,,,,,,,,,0.24,
第一序列,1,Opening,anchor,7,8,strong,悬疑,开篇悬疑氛围浓厚，废土世界观建立引人入胜，宫殿系统揭示悬念强烈,,,,,,,,,,,,2.89,
第一序列,310,Rising,anchor,7,8,strong,爽快,任小粟追蒸汽列车用技能图谱抽取王从阳超凡能力，十六节车厢超预期，运气反噬设定精妙,,,,,,,,,,,,4.46,
第一序列,627,Mid,anchor,5,6,medium,日常,李神坛司离人荒野生活日常有趣，洛城局势铺垫信息量大，批假电话桥段搞笑,,,,,,,,,,,,3.56,
第一序列,946,Climax,anchor,8,7,medium,爽快,利用荀夜羽能力精准狩猎运输队战术精彩，两人截杀数百蛮子爽快，六又四分之三联手梗搞笑,,,,,,,,,,,,3.74,
第一序列,1251,Ending,anchor,8,9,strong,悲壮,黑狐与T5战士面临绝境仍选择最后一搏悲壮动人，P5092把希望留给别人的哲学深刻，四路大军围攻178末日感极强,,,,,,,,,,,,6.19,
第一序列,955,Climax,disagreement,10,10,strong,热血,杨小槿完美级枪械能力展现极致震撼，无限子弹狙击如炮火覆盖热血，白色面具攀壁迎敌场面燃爆,,,,,,,,,,,,7.7,
第一序列,896,Climax,disagreement,10,10,strong,悲壮,第六师殿后牺牲悲壮动人，第七师接力赴死令人泪目，白色面具二人入战场极致震撼,,,,,,,,,,,,6.87,
第一序列,747,Mid,disagreement,9,9,strong,热血,双狙击手游击战精彩绝伦，黑弹发现提升战力悬念强，夕阳下并肩作战浪漫与热血并存,,,,,,,,,,,,6.7,
第一序列,1095,Climax,disagreement,8,9,strong,悬疑,黑色真视之眼与任禾关联揭秘震撼，宫殿发布寻父线索任务悬念极强，巫师国度饥荒引出大兴西北3.0,,,,,,,,,,,,6.28,
第一序列,607,Mid,disagreement,8,9,strong,热血,三人牵手漫步爬墙虎中反差感震撼，周涛记者记录真相感人，罗岚周其临终对话有血有肉,,,,,,,,,,,,6.19,
第一序列,657,Mid,disagreement,10,10,strong,热血,杨小槿奔赴洛城重逢极致浪漫，长街漫步配合默契热血沸腾，两人信任彼此的战斗场面震撼,,,,,,,,,,,,6.14,
第一序列,1085,Climax,disagreement,7,8,strong,悬疑,王圣知拒绝永生上传思维哲学对话深刻动人，人工智能与灵魂之辩引人深思，主角急切学巫术搞笑,,,,,,,,,,,,6.11,
第一序列,1212,Ending,disagreement,8,9,strong,悬疑,以围棋人机大战隐喻AI博弈深刻绝妙，庆缜分析神之一手与一成胜算令人窒息，人工智能或故意输给人类悬念震撼,,,,,,,,,,,,5.82,
第一序列,57,Rising,supplement,8,8,strong,热血,队伍内讧引发激战，许显楚超凡者身份震撼揭露，灰影战斗场面热血精彩,,,,,,,,,,,,0.89,
长夜余火,1,Opening,anchor,5,5,medium,紧张,LLM解析失败，使用默认值,,,,,,,,,,,,2.15,
长夜余火,234,Rising,anchor,5,5,medium,紧张,LLM评分失败，使用默认值,,,,,,,,,,,,2.42,
长夜余火,87,Rising,disagreement,5,5,medium,紧张,LLM解析失败，使用默认值,,,,,,,,,,,,3.25,
长夜余火,146,Rising,disagreement,5,5,medium,紧张,LLM评分失败，使用默认值,,,,,,,,,,,,3.16,
长夜余火,97,Rising,disagreement,5,5,medium,紧张,LLM评分失败，使用默认值,,,,,,,,,,,,3.1,
长夜余火,29,Rising,disagreement,5,5,medium,紧张,LLM解析失败，使用默认值,,,,,,,,,,,,3.07,
长夜余火,136,Rising,disagreement,5,5,medium,紧张,LLM评分失败，使用默认值,,,,,,,,,,,,2.98,
长夜余火,107,Rising,disagreement,5,5,medium,紧张,LLM评分失败，使用默认值,,,,,,,,,,,,2.88,
长夜余火,156,Rising,disagreement,5,5,medium,紧张,LLM评分失败，使用默认值,,,,,,,,,,,,2.88,
长夜余火,204,Rising,disagreement,5,5,medium,紧张,LLM评分失败，使用默认值,,,,,,,,,,,,2.88,
末日乐园,1,Opening,anchor,6,8,strong,悬疑,开篇以女主角怀疑男友想杀她为引，逐步揭示任楠种种不人异常，悬疑氛围层层递进，章末蛇视目光悬念极强,,,,,,,,,,,,4.78,
末日乐园,610,Rising,anchor,7,7,medium,紧张,火箭百公里加速开场刺激，时间维度概念设定新颖烧脑，各项目互相影响的规则震撼,,,,,,,,,,,,3.78,
末日乐园,1218,Mid,anchor,8,8,strong,热血,黑泽忌借力打力战斗方式惊艳绝伦，穿过警卫走廊动作流畅热血，到达引擎门口悬念强,,,,,,,,,,,,5.33,
末日乐园,1817,Climax,anchor,6,7,strong,温馨,林三酒与斯巴安谢风司陆等人在Exodus上重聚，谢风变杀鸡天才，斯巴安提议用大洪水跳跃服务召集更多人。,,,,,,,,,,,,1.16,
末日乐园,2419,Ending,anchor,10,10,strong,热血,大洪水降临时林三酒与府西罗同时变为普通人，以秒计数殊死搏斗，折断其臂锁喉将杀之际洪水消失，府西罗仍然活着。,,,,,,,,,,,,6.14,
末日乐园,979,Mid,disagreement,9,9,strong,紧张,五人围攻生死攸关场面惊险，300路能力对手反转震撼，水下逃亡步枪反击高潮迭起,,,,,,,,,,,,6.88,
末日乐园,1866,Climax,disagreement,9,9,strong,紧张,院丸嗣在空列车中被伏击，跳广告牌逃生潜入俱乐部化妆室，女歌手卸妆后竟是军火商老板本人，反转震撼。,,,,,,,,,,,,6.7,
末日乐园,2016,Climax,disagreement,9,9,strong,热血,余渊假意认罪踹机器制造镇警互射混乱，二人夺枪反击，余渊破解系统降下围住花生镇的黑山屏障，热血极爽。,,,,,,,,,,,,6.52,
末日乐园,1009,Mid,disagreement,8,9,strong,紧张,砸开电梯门追击节奏紧凑，吃豆人追逐战新奇刺激，谭章临终遗言与麓盐登场悬念极强,,,,,,,,,,,,6.19,
末日乐园,46,Opening,disagreement,8,8,strong,爽快,堕落种对峙中巧取特殊物品，林三酒胆识与智谋兼备，动作紧凑节奏明快，爽感十足,,,,,,,,,,,,6.16,
末日乐园,2234,Ending,disagreement,8,8,strong,紧张,清久留被树人形围攻瘦男人抢夺操纵器，绝望之际神秘力量爆发化解危机，人本获得自由拥抱住另一个人本。,,,,,,,,,,,,6.07,
末日乐园,2046,Climax,disagreement,8,9,strong,悬疑,理发店副本中哑剧演员限定林三酒只能做他表演过的动作，倒计时一小时，巨型头颅理发师出现要给她理同样的发型。,,,,,,,,,,,,6.01,
末日乐园,1228,Mid,disagreement,8,9,strong,紧张,大洪水逼近，意识力屏障如螳臂挡车，黑泽忌被吞没后消失，卫刑撞救林三酒，生死一线悬念极强。,,,,,,,,,,,,5.92,
末日乐园,123,Rising,supplement,9,9,strong,热血,林三酒杀恶人救女性后发表热血演讲，情感爆发力极强，章末宫道一率众登场制造强敌压迫感,,,,,,,,,,,,1.36,
末日乐园,999,Mid,supplement,8,8,strong,热血,有组织进攻战术描写精彩，拍立得相机固定人偶师设定新颖，林三酒突袭白袍男人悬念极强,,,,,,,,,,,,1.0,
